+--------------------------------------------------------------------------------+--------+
|                                   Base Path                                    | Amount |
|                          /data4/paper/2013EoR/2456700                          |  560   |
|                          /data4/paper/2013EoR/2456702                          |  560   |
|                          /data4/paper/2013EoR/2456703                          |  560   |
|                          /data4/paper/2013EoR/2456704                          |  560   |
|                          /data4/paper/2013EoR/2456705                          |  560   |
|                          /data4/paper/2013EoR/2456706                          |  488   |
|                          /data4/paper/2013EoR/2456707                          |  560   |
|                          /data4/paper/2013EoR/2456708                          |  550   |
|                          /data4/paper/2013EoR/2456709                          |  560   |
|                          /data4/paper/2013EoR/2456710                          |  560   |
|                          /data4/paper/2013EoR/2456711                          |  560   |
|                          /data4/paper/2013EoR/2456712                          |  398   |
|                          /data4/paper/2013EoR/2456713                          |  388   |
|                          /data4/paper/2013EoR/2456714                          |  392   |
|                          /data4/paper/2013EoR/2456715                          |  560   |
|                          /data4/paper/2013EoR/2456716                          |  560   |
|                          /data4/paper/2013EoR/2456717                          |  560   |
|                          /data4/paper/2013EoR/2456718                          |  560   |
|                          /data4/paper/2013EoR/2456719                          |  534   |
|                          /data4/paper/2013EoR/2456720                          |  560   |
|                          /data4/paper/2013EoR/2456721                          |  560   |
|                          /data4/paper/2013EoR/2456722                          |  560   |
|                          /data4/paper/2013EoR/2456723                          |  560   |
|                          /data4/paper/2013EoR/2456724                          |  560   |
|                          /data4/paper/2013EoR/2456730                          |  279   |
|                   /data4/paper/2013EoR/Analysis/2456620_SAK                    |  280   |
|                    /data4/paper/2013EoR/Analysis/2456632_ZA                    |   58   |
|                    /data4/paper/2013EoR/Analysis/2456636_CC                    |   94   |
|                      /data4/paper/2013EoR/Analysis/SA_uvc                      |   1    |
|                      /data4/paper/2013EoR/Analysis/US_uvc                      |   1    |
|                    /data4/paper/2013EoR/RFIplotting/245test                    |   4    |
|                           /data4/paper/2013EoR/TEST                            |   3    |
|                          /data4/paper/2014EoR/2456996                          |   1    |
|                    /data4/paper/2014EoR/pot2/data1/2456725                     |   8    |
|                    /data4/paper/2014EoR/pot2/data1/2456845                     |   4    |
|                    /data4/paper/2014EoR/pot2/data1/2456850                     |   12   |
|                    /data4/paper/2014EoR/pot2/data1/2456860                     |   32   |
|                    /data4/paper/2014EoR/pot2/data1/2456865                     |   36   |
|                    /data4/paper/2014EoR/pot2/data1/2456870                     |   44   |
|                    /data4/paper/2014EoR/pot2/data1/2456885                     |   68   |
|                    /data4/paper/2014EoR/pot2/data1/2456890                     |   80   |
|                    /data4/paper/2014EoR/pot2/data1/2456895                     |   84   |
|                    /data4/paper/2014EoR/pot2/data1/2456900                     |   92   |
|                    /data4/paper/2014EoR/pot2/data1/2456905                     |  100   |
|                    /data4/paper/2014EoR/pot2/data1/2456910                     |  108   |
|                    /data4/paper/2014EoR/pot2/data1/2456915                     |  116   |
|                    /data4/paper/2014EoR/pot2/data1/2456920                     |  120   |
|                    /data4/paper/2014EoR/pot2/data1/2456925                     |  120   |
|                    /data4/paper/2014EoR/pot2/data1/2456950                     |  114   |
|                    /data4/paper/2014EoR/pot2/data1/2456955                     |  116   |
|                    /data4/paper/2014EoR/pot2/data1/2456960                     |  116   |
|                    /data4/paper/2014EoR/pot2/data1/2456965                     |  120   |
|                    /data4/paper/2014EoR/pot2/data1/2456970                     |  114   |
|                    /data4/paper/2014EoR/pot2/data1/2456975                     |   84   |
|                    /data4/paper/2014EoR/pot2/data1/2456980                     |   84   |
|                    /data4/paper/2014EoR/pot2/data1/2456985                     |   84   |
|                    /data4/paper/2014EoR/pot2/data1/2456990                     |   84   |
|                    /data4/paper/2014EoR/pot2/data1/2456995                     |   54   |
|                    /data4/paper/2014EoR/pot2/data2/2456726                     |   8    |
|                    /data4/paper/2014EoR/pot2/data2/2456846                     |   4    |
|                    /data4/paper/2014EoR/pot2/data2/2456851                     |   8    |
|                    /data4/paper/2014EoR/pot2/data2/2456856                     |   12   |
|                    /data4/paper/2014EoR/pot2/data2/2456861                     |   16   |
