+-----+------------+----------------------------------------------------+----------------------------------------------+-------------+--------+
| Era | Julian Day |                      Raw Path                      |               Compressed Path                | Type(R/C/B) | Amount |
|  32 |    6002    |      folio:/data4/paper/raw_to_tape/2456002/       |     folio:/data4/paper/2011EoR/2456002/      |      B      |   95   |
|  32 |    6002    |      folio:/data4/paper/raw_to_tape/2456002/       |                     NULL                     |      R      |   1    |
|  32 |    6003    |      folio:/data4/paper/raw_to_tape/2456003/       |     folio:/data4/paper/2011EoR/2456003/      |      B      |   94   |
|  32 |    6003    |      folio:/data4/paper/raw_to_tape/2456003/       |                     NULL                     |      R      |   2    |
|  32 |    6004    |      folio:/data4/paper/raw_to_tape/2456004/       |     folio:/data4/paper/2011EoR/2456004/      |      B      |   95   |
|  32 |    6004    |      folio:/data4/paper/raw_to_tape/2456004/       |                     NULL                     |      R      |   1    |
|  32 |    6005    |      folio:/data4/paper/raw_to_tape/2456005/       |     folio:/data4/paper/2011EoR/2456005/      |      B      |   94   |
|  32 |    6005    |      folio:/data4/paper/raw_to_tape/2456005/       |                     NULL                     |      R      |   2    |
|  32 |    6006    |      folio:/data4/paper/raw_to_tape/2456006/       |     folio:/data4/paper/2011EoR/2456006/      |      B      |   94   |
|  32 |    6006    |      folio:/data4/paper/raw_to_tape/2456006/       |                     NULL                     |      R      |   2    |
|  32 |    6007    |      folio:/data4/paper/raw_to_tape/2456007/       |                     NULL                     |      R      |   81   |
|  32 |    6008    |      folio:/data4/paper/raw_to_tape/2456008/       |                     NULL                     |      R      |   96   |
|  32 |    6009    |      folio:/data4/paper/raw_to_tape/2456009/       |                     NULL                     |      R      |   96   |
|  32 |    6010    |      folio:/data4/paper/raw_to_tape/2456010/       |                     NULL                     |      R      |   96   |
|  32 |    6011    |      folio:/data4/paper/raw_to_tape/2456011/       |                     NULL                     |      R      |   96   |
|  32 |    6012    |      folio:/data4/paper/raw_to_tape/2456012/       |                     NULL                     |      R      |   96   |
|  32 |    6013    |      folio:/data4/paper/raw_to_tape/2456013/       |                     NULL                     |      R      |   96   |
|  32 |    6014    |      folio:/data4/paper/raw_to_tape/2456014/       |                     NULL                     |      R      |   96   |
|  32 |    6015    |      folio:/data4/paper/raw_to_tape/2456015/       |                     NULL                     |      R      |   96   |
|  32 |    6016    |      folio:/data4/paper/raw_to_tape/2456016/       |                     NULL                     |      R      |   96   |
|  32 |    6017    |      folio:/data4/paper/raw_to_tape/2456017/       |                     NULL                     |      R      |   96   |
|  32 |    6018    |      folio:/data4/paper/raw_to_tape/2456018/       |                     NULL                     |      R      |   96   |
|  32 |    6019    |      folio:/data4/paper/raw_to_tape/2456019/       |                     NULL                     |      R      |   96   |
|  32 |    6020    |      folio:/data4/paper/raw_to_tape/2456020/       |                     NULL                     |      R      |   96   |
|  32 |    6021    |      folio:/data4/paper/raw_to_tape/2456021/       |                     NULL                     |      R      |   96   |
|  32 |    6022    |      folio:/data4/paper/raw_to_tape/2456022/       |                     NULL                     |      R      |   96   |
|  32 |    6023    |      folio:/data4/paper/raw_to_tape/2456023/       |                     NULL                     |      R      |   96   |
|  32 |    6024    |      folio:/data4/paper/raw_to_tape/2456024/       |                     NULL                     |      R      |   96   |
|  32 |    6025    |      folio:/data4/paper/raw_to_tape/2456025/       |                     NULL                     |      R      |   96   |
|  32 |    6026    |      folio:/data4/paper/raw_to_tape/2456026/       |                     NULL                     |      R      |   96   |
|  32 |    6027    |      folio:/data4/paper/raw_to_tape/2456027/       |                     NULL                     |      R      |   96   |
|  32 |    6028    |      folio:/data4/paper/raw_to_tape/2456028/       |                     NULL                     |      R      |   96   |
|  32 |    6030    |      folio:/data4/paper/raw_to_tape/2456030/       |                     NULL                     |      R      |   96   |
|  32 |    6031    |      folio:/data4/paper/raw_to_tape/2456031/       |                     NULL                     |      R      |   96   |
|  32 |    6032    |      folio:/data4/paper/raw_to_tape/2456032/       |                     NULL                     |      R      |   96   |
|  32 |    6033    |      folio:/data4/paper/raw_to_tape/2456033/       |                     NULL                     |      R      |   96   |
|  32 |    6034    |      folio:/data4/paper/raw_to_tape/2456034/       |                     NULL                     |      R      |   96   |
|  32 |    6035    |      folio:/data4/paper/raw_to_tape/2456035/       |                     NULL                     |      R      |   96   |
|  32 |    6036    |      folio:/data4/paper/raw_to_tape/2456036/       |                     NULL                     |      R      |   96   |
|  64 |    6193    |                        NULL                        |    node16:/mnt/JamesMadison/data/psa6193/    |      C      |   10   |
|  64 |    6195    |                        NULL                        |    node16:/mnt/JamesMadison/data/psa6195/    |      C      |   3    |
|  64 |    6214    |                        NULL                        | folio:/data4/paper/2012EoR/psa_live/psa6214/ |      C      |   20   |
|  64 |    6214    |                        NULL                        |    node16:/mnt/JamesMadison/data/psa6214/    |      C      |   8    |
